labels,text,phone_number
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",6403182411
ham,Ok lar... Joking wif u oni...,8876569438
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,148-397-5239
ham,U dun say so early hor... U c already then say...,6181483571
ham,"Nah I don't think he goes to usf, he lives around here though",7695898062
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",691-327-9319
ham,Even my brother is not like to speak with me. They treat me like aids patent.,8625252544
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,9408978518
spam,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,396-842-1022
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,830-187-5114
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",8760983973
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",916-880-5791
spam,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",269-720-7846
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,9970657619
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,9189445502
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",592-174-7369
ham,Oh k...i'm watching here:),7208711521
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,7574039155
ham,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,9311601202
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",852-206-1231
ham,Is that seriously how you spell his name?,7749764318
ham,I‰Û÷m going to try for 2 months ha ha only joking,9981804288
ham,So Ì_ pay first lar... Then when is da stock comin...,7159031730
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,7139032913
ham,Ffffffffff. Alright no way I can meet up with you sooner?,6972414787
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,9493165465
ham,Lol your always so convincing.,9842325451
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,6825165124
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",6342232224
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,7646361664
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",7173594573
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,9946888598
ham,K tell me anything about you.,7169929824
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,8202996455
spam,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,421-393-8700
ham,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,9583353491
ham,"Oops, I'll let you know when my roommate's done",6385926833
ham,I see the letter B on my car,7362619319
ham,Anything lor... U decide...,6430040082
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,6569291095
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,6571164024
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",6433894837
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,677-773-6144
ham,WHO ARE YOU SEEING?,8563901724
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,7181750643
ham,No calls..messages..missed calls,9877395187
ham,Didn't you get hep b immunisation in nigeria.,7324670020
ham,"Fair enough, anything going on?",8453756183
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",8488760169
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,8691978759
ham,What you thinked about me. First time you saw me in class.,6936985355
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",6531907365
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,7211909772
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",9791156604
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,598-325-4710
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,9348796244
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",914-381-6090
ham,"Sorry, I'll call later in meeting.",7127847980
ham,Tell where you reached,8827876247
ham,Yes..gauti and sehwag out of odi series.,7446822104
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,9495068890
ham,Ha ha ha good joke. Girls are situation seekers.,9217070698
ham,Its a part of checking IQ,8615770025
ham,"Sorry my roommates took forever, it ok if I come by now?",8506837666
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,8880626412
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",466-332-4419
ham,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",9851428052
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",723-513-1069
spam,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",170-625-2360
ham,I plane to give on this month end.,8999181673
ham,Wah lucky man... Then can save money... Hee...,7835434573
ham,Finished class where are you.,9520429872
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,6336993095
ham,K..k:)where are you?how did you performed?,8675692197
ham,U can call me now...,8663239967
ham,I am waiting machan. Call me once you free.,9145269733
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,6516886537
ham,I like you peoples very much:) but am very shy pa.,7790594994
ham,Does not operate after  &lt;#&gt;  or what,9453188070
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,6197810626
ham,"Sorry, I'll call later",6350631634
ham,K. Did you call me just now ah? ,9725039261
ham,Ok i am on the way to home hi hi,9135888546
ham,You will be in the place of that man,7709748334
ham,Yup next stop.,6129218833
ham,"I call you later, don't have network. If urgnt, sms me.",9648555400
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,8344340155
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,6728818849
ham,I'm really not up to it still tonight babe,8500461710
ham,"Ela kano.,il download, come wen ur free..",6207639233
ham,Yeah do! Don‰Û÷t stand to close tho- you‰Û÷ll catch something!,6903923617
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,9660134587
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,9174207487
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,605-311-3323
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,8470022697
spam,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",423-460-9031
ham,Watching telugu movie..wat abt u?,6660206728
ham,i see. When we finish we have loads of loans to pay,6333978138
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham""",6221931720
ham,Please don't text me anymore. I have nothing else to say.,8208099998
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,7633254586
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,7972123325
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,9675218782
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",6428876554
ham,Umma my life and vava umma love you lot dear,9995551362
ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,9544709722
ham,"Aight, I'll hit you up when I get some cash",9735672876
ham,How would my ip address test that considering my computer isn't a minecraft server,9752782156
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,9400777160
ham,Dont worry. I guess he's busy.,8774768014
ham,What is the plural of the noun research?,9343416379
ham,Going for dinner.msg you after.,7467717685
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,7213074073
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,701-614-5709
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",9588616493
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",7400197745
spam,You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,719-778-7544
ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,8385365854
ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,9488955725
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,521-249-3703
spam,"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",615-553-9366
ham,here is my new address -apples&pairs&all that malarky,7138375588
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,773-736-2727
ham,I am going to sao mu today. Will be done only at 12 ,8346593252
ham,ÌÏ predict wat time Ì_'ll finish buying?,6289876122
ham,"Good stuff, will do.",6856427860
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",6875177932
ham,Are you there in room.,9168448044
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,7798938817
ham,K..k:)how much does it cost?,6172169382
ham,I'm home.,7845225093
ham,"Dear, will call Tmorrow.pls accomodate.",7275003338
ham,First answer my question.,6715210286
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone,970-413-4154
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,434-253-8400
ham,I only haf msn. It's yijue@hotmail.com,7237896407
ham,He is there. You call and meet him,7704105687
ham,No no. I will check all rooms befor activities,6670734267
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,129-371-1433
ham,Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...,7327494997
ham,"K, text me when you're on the way",9454586883
ham,"Sir, Waiting for your mail.",7724139373
ham,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",9225135661
ham,I know you are. Can you pls open the back?,6354788646
ham,Yes see ya not on the dot,6749775186
ham,Whats the staff name who is taking class for us?,7498306557
spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",964-134-4899
ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,6742026727
ham,K..i deleted my contact that why?,7493362644
ham,Sindu got job in birla soft ..,7267842246
ham,The wine is flowing and i'm i have nevering..,8747581608
ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,9436373934
ham,Ok... Ur typical reply...,9873640249
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,9413340479
ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",6879252421
ham,Aaooooright are you at work?,9747388180
ham,I'm leaving my house now...,9905305108
ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",6797290179
spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,548-741-3984
spam,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,629-187-8028
ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,8379545709
ham,New car and house for my parents.:)i have only new job in hand:),7723924179
ham,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,6874932624
spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,665-910-7933
spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",211-136-7758
ham,I place all ur points on e cultures module already.,8199497765
spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,352-214-3535
ham,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",7924294549
ham,Great escape. I fancy the bridge but needs her lager. See you tomo ,7478142739
ham,Yes :)it completely in out of form:)clark also utter waste.,7331258137
ham,"Sir, I need AXIS BANK account no and bank address.",6828822549
ham,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",7616856590
ham,What time you coming down later? ,8813684233
ham,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",6300084670
ham,"Well, i'm gonna finish my bath now. Have a good...fine night.",9653408301
ham,Let me know when you've got the money so carlos can make the call,7445316853
ham,U still going to the mall?,9616219938
ham,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",9392615360
ham,Text her. If she doesnt reply let me know so i can have her log in,8431399621
ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,7702895417
ham,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,6897108720
ham,Lol no. U can trust me.,9230091759
ham,ok. I am a gentleman and will treat you with dignity and respect.,6105988792
ham,"He will, you guys close?",9375095051
ham,Going on nothing great.bye,6543766966
ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,9253208336
ham,"Haha awesome, be there in a minute",6505208119
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,247-123-4377
ham,Have you got Xmas radio times. If not i will get it now,9714492265
ham,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,6271628890
spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,154-104-9770
ham,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,8560195273
ham,Hi :)finally i completed the course:),7246698078
ham,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,7364074415
ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,9190411690
ham,Gud mrng dear hav a nice day,8834219776
ham,Did u got that persons story,8892021070
ham,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,6430108866
ham,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,6518707094
ham,"Found it, ENC  &lt;#&gt; , where you at?",6701603239
ham,I sent you  &lt;#&gt;  bucks,6870870814
ham,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,8273568753
ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,6296177803
ham,Goodmorning sleeping ga.,7251969289
ham,U call me alter at 11 ok.,7166306204
ham,ÌÏ say until like dat i dun buy ericsson oso cannot oredi lar...,6679309220
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",9312876625
ham,"Aight yo, dats straight dogg",8309492442
ham,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,6527932277
ham,Both :) i shoot big loads so get ready!,9204197185
ham,"What's up bruv, hope you had a great break. Do have a rewarding semester.",6895539875
ham,Home so we can always chat,9643535639
ham,K:)k:)good:)study well.,6600631803
ham,Yup... How Ì_ noe leh...,7386670091
ham,Sounds great! Are you home now?,9693326001
ham,Finally the match heading towards draw as your prediction.,6227736168
ham,Tired. I haven't slept well the past few nights.,9190748028
ham,Easy ah?sen got selected means its good..,8204711125
